順位,選手名,年齢,ポジション,チーム,年俸,年俸_円
1,山本　由伸,24,投手,オリックス,6億5000万円,650000000
2,Ｒ．オスナ,28,投手,ソフトバンク,6億5000万円,650000000
3,柳田　悠岐,34,外野手,ソフトバンク,6億2000万円,620000000
4,坂本　勇人,34,内野手,巨人,6億円,600000000
5,村上　宗隆,23,内野手,ヤクルト,6億円,600000000
6,菅野　智之,33,投手,巨人,5億円,500000000
7,浅村　栄斗,32,内野手,楽天,5億円,500000000
8,山田　哲人,30,内野手,ヤクルト,5億円,500000000
9,田中　将大,34,投手,楽天,4億7500万円,475000000
10,森　唯斗,31,投手,ソフトバンク,4億6000万円,460000000
11,丸　佳浩,33,外野手,巨人,4億5000万円,450000000
12,Ｄ．ビシエド,34,内野手,中日,3億5000万円,350000000
13,Ｆ．ガルビス,33,内野手,ソフトバンク,3億5000万円,350000000
14,青木　宣親,41,外野手,ヤクルト,3億3000万円,330000000
15,則本　昂大,32,投手,楽天,3億円,300000000
16,山﨑　康晃,30,投手,DeNA,3億円,300000000
17,増田　達至,34,投手,西武,3億円,300000000
18,中田　翔,33,内野手,巨人,3億円,300000000
19,源田　壮亮,30,内野手,西武,3億円,300000000
20,有原　航平,30,投手,ソフトバンク,3億円,300000000
21,Ｌ．モイネロ,27,投手,ソフトバンク,3億円,300000000
22,今宮　健太,31,内野手,ソフトバンク,3億円,300000000
23,菊池　涼介,33,内野手,広島,3億円,300000000
24,西　勇輝,32,投手,阪神,3億円,300000000
25,大野　雄大,34,投手,中日,3億円,300000000
26,岡本　和真,26,内野手,巨人,2億7000万円,270000000
27,山川　穂高,31,内野手,西武,2億7000万円,270000000
28,Ｄ．サンタナ,30,外野手,ヤクルト,2億6500万円,265000000
29,近藤　健介,29,外野手,ソフトバンク,2億5500万円,255000000
30,大島　洋平,37,外野手,中日,2億5000万円,250000000
31,松井　裕樹,27,投手,楽天,2億5000万円,250000000
32,岸　孝之,38,投手,楽天,2億5000万円,250000000
33,Ｎ．ソト,34,内野手,DeNA,2億5000万円,250000000
34,青柳　晃洋,29,投手,阪神,2億4000万円,240000000
35,平野　佳寿,39,投手,オリックス,2億2000万円,220000000
36,甲斐　拓也,30,捕手,ソフトバンク,2億1000万円,210000000
37,森　友哉,27,捕手,オリックス,2億1000万円,210000000
38,中村　奨吾,30,内野手,ロッテ,2億円,200000000
39,Ｇ．ポランコ,31,外野手,ロッテ,2億円,200000000
40,Ｅ．エスコバー,30,投手,DeNA,2億円,200000000
41,鈴木　大地,33,内野手,楽天,2億円,200000000
42,宮﨑　敏郎,34,内野手,DeNA,2億円,200000000
43,Ｔ．オースティン,31,外野手,DeNA,2億円,200000000
44,中村　剛也,39,内野手,西武,2億円,200000000
45,Ｙ．ロドリゲス,26,投手,中日,2億円,200000000
46,Ｒ．マルティネス,26,投手,中日,2億円,200000000
47,梶谷　隆幸,34,外野手,巨人,2億円,200000000
48,岩崎　優,31,投手,阪神,2億円,200000000
49,益田　直也,33,投手,ロッテ,2億円,200000000
50,澤村　拓一,34,投手,ロッテ,2億円,200000000
51,サイスニード,30,投手,ヤクルト,1億9000万円,190000000
52,Ｒ．マクブルーム,30,内野手,広島,1億9000万円,190000000
53,Ｋ．ケラー,29,投手,阪神,1億8200万円,182000000
54,Ｃ．ポンセ,28,投手,日本ハム,1億8000万円,180000000
55,髙橋　光成,26,投手,西武,1億8000万円,180000000
56,大瀬良　大地,31,投手,広島,1億8000万円,180000000
57,Ｗ．アストゥディーヨ,31,内野手,ソフトバンク,1億8000万円,180000000
58,Ｍ．ゴンザレス,34,内野手,オリックス,1億8000万円,180000000
59,Ｓ．ノイジー,28,外野手,阪神,1億7940万円,179400000
60,栗山　巧,39,外野手,西武,1億7900万円,179000000
61,近本　光司,28,外野手,阪神,1億7000万円,170000000
62,平良　海馬,23,投手,西武,1億7000万円,170000000
63,Ｄ．エンス,31,投手,西武,1億7000万円,170000000
64,佐野　恵太,28,外野手,DeNA,1億7000万円,170000000
65,中村　悠平,32,捕手,ヤクルト,1億7000万円,170000000
66,上沢　直之,29,投手,日本ハム,1億7000万円,170000000
67,Ｌ．ペルドモ,29,投手,ロッテ,1億6900万円,169000000
68,Ａ．アキーノ,28,外野手,中日,1億6800万円,168000000
69,和田　毅,42,投手,ソフトバンク,1億6500万円,165000000
70,梅野　隆太郎,31,捕手,阪神,1億6000万円,160000000
71,Ｔ．ビーディ,29,投手,巨人,1億6000万円,160000000
72,外崎　修汰,30,内野手,西武,1億6000万円,160000000
73,Ｊ．ガンケル,31,投手,ソフトバンク,1億6000万円,160000000
74,嘉弥真　新也,33,投手,ソフトバンク,1億6000万円,160000000
75,小川　泰弘,32,投手,ヤクルト,1億6000万円,160000000
76,Ｊ．オスナ,30,内野手,ヤクルト,1億5800万円,158000000
77,又吉　克樹,32,投手,ソフトバンク,1億5000万円,150000000
78,東浜　巨,32,投手,ソフトバンク,1億5000万円,150000000
79,武田　翔太,29,投手,ソフトバンク,1億5000万円,150000000
80,石川　柊太,31,投手,ソフトバンク,1億5000万円,150000000
81,石山　泰稚,34,投手,ヤクルト,1億5000万円,150000000
82,中村　晃,33,外野手,ソフトバンク,1億5000万円,150000000
83,石川　歩,34,投手,ロッテ,1億5000万円,150000000
84,秋山　翔吾,34,外野手,広島,1億5000万円,150000000
85,今永　昇太,29,投手,DeNA,1億4000万円,140000000
86,九里　亜蓮,31,投手,広島,1億4000万円,140000000
87,會澤　翼,34,捕手,広島,1億4000万円,140000000
88,美馬　学,36,投手,ロッテ,1億4000万円,140000000
89,加藤　貴之,30,投手,日本ハム,1億3500万円,135000000
90,Ｋ．ケラ,29,投手,ヤクルト,1億3200万円,132000000
91,大山　悠輔,28,内野手,阪神,1億3000万円,130000000
92,Ａ．アルカンタラ,31,内野手,日本ハム,1億3000万円,130000000
93,Ｌ．ブリンソン,28,外野手,巨人,1億3000万円,130000000
94,Ｊ．ワゲスパック,29,投手,オリックス,1億3000万円,130000000
95,金子　侑司,32,外野手,西武,1億2600万円,126000000
96,Ｂ．ロドリゲス,31,投手,日本ハム,1億2000万円,120000000
97,福田　秀平,34,外野手,ロッテ,1億2000万円,120000000
98,三嶋　一輝,32,投手,DeNA,1億2000万円,120000000
99,Ｒ．ガゼルマン,29,投手,DeNA,1億2000万円,120000000
100,Ｊ．Ｂ．ウェンデルケン,30,投手,DeNA,1億2000万円,120000000
101,牧　秀悟,24,内野手,DeNA,1億2000万円,120000000
102,島内　宏明,33,外野手,楽天,1億2000万円,120000000
103,桑原　将志,29,外野手,DeNA,1億2000万円,120000000
104,西川　龍馬,28,外野手,広島,1億2000万円,120000000
105,高梨　雄平,30,投手,巨人,1億1000万円,110000000
106,Ｙ．ロペス,30,投手,巨人,1億1000万円,110000000
107,伊藤　光,33,捕手,DeNA,1億1000万円,110000000
108,Ｃ．スチュワート・ジュニア,23,投手,ソフトバンク,1億1000万円,110000000
109,田嶋　大樹,26,投手,オリックス,1億1000万円,110000000
110,森下　暢仁,25,投手,広島,1億1000万円,110000000
111,Ｊ．ビーズリー,27,投手,阪神,1億960万円,109600000
112,柳　裕也,28,投手,中日,1億800万円,108000000
113,Ｎ．ターリー,33,投手,広島,1億600万円,106000000
114,祖父江　大輔,35,投手,中日,1億円,100000000
115,荻野　貴司,37,外野手,ロッテ,1億円,100000000
116,Ｍ．バニュエロス,32,投手,楽天,1億円,100000000
117,宋　家豪,30,投手,楽天,1億円,100000000
118,Ｆ．グリフィン,27,投手,巨人,1億円,100000000
119,炭谷　銀仁朗,35,捕手,楽天,1億円,100000000
120,小林　誠司,33,捕手,巨人,1億円,100000000
121,Ｍ．フランコ,30,内野手,楽天,1億円,100000000
122,Ｊ．ティノコ,27,投手,西武,1億円,100000000
123,Ｃ．ギッテンス,29,内野手,楽天,1億円,100000000
124,Ａ．ウォーカー,31,外野手,巨人,1億円,100000000
