選手名,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,四球,死球,三振,併殺打,打率,出塁率,長打率,犠打,犠飛,所属球団,年度,年齢
甲斐　拓也,139,420,366,35,74,16,1,10,122,44,0,0,31,3,117,5,0.202,0.269,0.333,18,2,福岡ソフトバンク,2023,32
小林　誠司,21,9,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0.125,0.125,0.125,1,0,読　売,2023,35
大城　卓三,134,490,424,50,119,20,1,16,189,55,0,0,36,5,109,12,0.281,0.341,0.446,21,4,読　売,2023,31
岸田　行倫,46,72,68,5,17,2,0,2,25,3,0,0,2,1,12,4,0.25,0.282,0.368,1,0,読　売,2023,28
郡　拓也,7,15,15,2,4,1,0,0,5,0,1,0,0,0,1,0,0.267,0.267,0.333,0,0,北海道日本ハム,2023,26
山瀬　慎之助,5,7,7,1,1,0,0,0,1,0,0,0,0,0,3,0,0.143,0.143,0.143,0,0,読　売,2023,23
増田　大輝,33,13,10,4,3,1,0,0,4,1,4,2,1,0,3,0,0.3,0.364,0.4,2,0,読　売,2023,31
吉川　尚輝,132,478,430,47,110,19,4,7,158,36,4,4,26,8,66,12,0.256,0.308,0.367,11,3,読　売,2023,29
門脇　誠,126,348,316,34,83,12,1,3,106,21,11,5,18,0,58,4,0.263,0.302,0.335,14,0,読　売,2023,23
坂本　勇人,116,455,403,46,116,29,0,22,211,60,2,0,45,2,84,5,0.288,0.361,0.524,3,2,読　売,2023,35
岡本　和真,140,589,503,83,140,31,0,41,294,93,0,1,72,8,111,10,0.278,0.374,0.584,0,6,読　売,2023,28
中山　礼都,78,147,138,9,33,5,1,0,40,3,5,1,7,0,30,5,0.239,0.276,0.29,2,0,読　売,2023,22
リチャード,22,64,61,2,7,1,0,0,8,1,0,0,2,1,25,0,0.115,0.156,0.131,0,0,福岡ソフトバンク,2023,25
秋広　優人,121,439,406,36,111,18,2,10,163,41,0,1,26,2,79,9,0.273,0.318,0.401,2,3,読　売,2023,22
長野　久義,75,176,158,15,41,7,1,6,68,19,1,1,17,0,40,2,0.259,0.33,0.43,0,1,読　売,2023,39
丸　佳浩,121,431,385,43,94,11,0,18,159,47,4,2,42,0,62,5,0.244,0.316,0.413,1,3,読　売,2023,35
萩尾　匡也,11,16,16,0,1,0,0,0,1,0,0,0,0,0,10,0,0.063,0.063,0.063,0,0,読　売,2023,23
岡田　悠希,26,52,48,4,8,1,0,1,12,2,0,0,3,0,14,1,0.167,0.216,0.25,1,0,読　売,2023,24
重信　慎之介,67,57,51,16,8,0,0,0,8,1,10,4,5,0,16,1,0.157,0.232,0.157,1,0,読　売,2023,31
オコエ　瑠偉,41,127,119,11,28,7,0,2,41,6,1,1,5,2,35,1,0.235,0.278,0.345,1,0,読　売,2023,27
浅野　翔吾,24,41,40,2,10,1,0,1,14,2,0,2,1,0,14,0,0.25,0.268,0.35,0,0,読　売,2023,20
若林　楽人,36,94,90,7,22,5,1,1,32,7,4,2,2,0,30,2,0.244,0.261,0.356,2,0,埼玉西武,2023,26
嶺井　博希,44,39,34,3,7,2,0,2,15,6,0,0,0,1,10,1,0.206,0.222,0.441,3,1,福岡ソフトバンク,2023,33
谷川原　健太,61,46,43,8,10,1,0,0,11,3,2,1,3,0,12,0,0.233,0.283,0.256,0,0,福岡ソフトバンク,2023,27
海野　隆司,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,福岡ソフトバンク,2023,27
川瀬　晃,102,208,178,25,42,7,3,0,55,15,2,2,9,2,23,3,0.236,0.279,0.309,18,1,福岡ソフトバンク,2023,27
山川　穂高,17,62,59,3,15,4,0,0,19,5,0,0,3,0,17,1,0.254,0.29,0.322,0,0,埼玉西武,2023,33
今宮　健太,126,484,427,38,109,22,0,9,158,48,4,0,27,2,58,14,0.255,0.3,0.37,24,4,福岡ソフトバンク,2023,33
牧原　大成,91,387,359,40,93,13,1,2,114,32,3,2,11,5,66,6,0.259,0.287,0.318,7,5,福岡ソフトバンク,2023,32
周東　佑京,114,268,237,52,57,5,1,2,70,17,36,7,20,3,56,3,0.241,0.307,0.295,7,1,福岡ソフトバンク,2023,28
栗原　陵矢,96,387,352,24,84,14,0,13,137,49,0,1,28,4,81,6,0.239,0.301,0.389,1,2,福岡ソフトバンク,2023,28
井上　朋也,15,41,38,3,10,2,0,1,15,3,0,0,3,0,10,0,0.263,0.317,0.395,0,0,福岡ソフトバンク,2023,21
リチャード,22,64,61,2,7,1,0,0,8,1,0,0,2,1,25,0,0.115,0.156,0.131,0,0,福岡ソフトバンク,2023,25
秋広　優人,121,439,406,36,111,18,2,10,163,41,0,1,26,2,79,9,0.273,0.318,0.401,2,3,読　売,2023,22
野村　勇,50,95,81,14,13,2,0,3,24,7,1,0,8,4,33,0,0.16,0.266,0.296,1,1,福岡ソフトバンク,2023,27
近藤　健介,143,613,492,75,149,33,0,26,260,87,3,4,109,6,117,7,0.303,0.431,0.528,0,6,福岡ソフトバンク,2023,31
中村　晃,136,585,511,52,140,13,2,5,172,37,0,2,60,3,53,8,0.274,0.351,0.337,7,4,福岡ソフトバンク,2023,35
柳田　悠岐,143,625,546,57,163,29,3,22,264,85,1,0,64,9,97,9,0.299,0.378,0.484,0,6,福岡ソフトバンク,2023,36
佐藤　直樹,41,31,30,6,5,1,0,1,9,2,3,1,0,0,16,0,0.167,0.167,0.3,1,0,福岡ソフトバンク,2023,26
正木　智也,15,30,26,2,1,0,0,0,1,1,0,0,3,1,10,0,0.038,0.167,0.038,0,0,福岡ソフトバンク,2023,25
柳町　達,116,375,311,27,80,18,1,0,100,34,2,1,58,1,104,8,0.257,0.375,0.322,4,1,福岡ソフトバンク,2023,27
川原田　純平,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,福岡ソフトバンク,2023,22
生海,13,21,20,2,4,0,0,0,4,0,0,0,1,0,5,0,0.2,0.238,0.2,0,0,福岡ソフトバンク,2023,24
梅野　隆太郎,72,251,217,17,42,4,0,1,49,19,3,1,28,2,56,6,0.194,0.288,0.226,1,3,阪　神,2023,33
坂本　誠志郎,84,289,243,10,55,5,1,0,62,21,0,0,19,4,62,4,0.226,0.288,0.255,18,5,阪　神,2023,31
榮枝　裕貴,2,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0.333,0.333,0.333,1,0,阪　神,2023,26
長坂　拳弥,10,12,9,0,2,0,0,0,2,0,0,0,0,0,3,0,0.222,0.222,0.222,3,0,阪　神,2023,30
木浪　聖也,127,470,408,41,109,22,1,1,136,41,0,0,31,4,103,13,0.267,0.32,0.333,20,7,阪　神,2023,30
大山　悠輔,143,625,513,80,148,29,0,19,234,78,3,3,99,5,120,13,0.288,0.403,0.456,0,8,阪　神,2023,29
熊谷　敬宥,26,9,6,7,2,0,0,0,2,0,3,1,2,0,2,0,0.333,0.5,0.333,1,0,阪　神,2023,29
佐藤　輝明,132,548,486,70,128,30,6,24,242,92,7,5,54,4,139,4,0.263,0.339,0.498,0,4,阪　神,2023,25
渡邉　諒,59,85,79,8,14,4,0,2,24,10,0,0,5,0,18,5,0.177,0.224,0.304,0,1,阪　神,2023,29
糸原　健斗,69,83,72,1,17,1,0,0,18,5,0,0,9,2,16,1,0.236,0.337,0.25,0,0,阪　神,2023,32
小幡　竜平,47,91,78,12,22,1,1,0,25,8,3,1,8,0,23,0,0.282,0.349,0.321,5,0,阪　神,2023,24
中野　拓夢,143,660,575,80,164,17,5,2,197,40,20,12,57,2,107,5,0.285,0.349,0.343,21,5,阪　神,2023,28
植田　海,28,3,1,9,0,0,0,0,0,0,4,0,1,0,0,0,0,0.5,0,1,0,阪　神,2023,28
原口　文仁,54,56,52,2,10,1,0,2,17,8,0,0,3,1,18,2,0.192,0.25,0.327,0,0,阪　神,2023,32
森下　翔太,94,377,333,42,79,14,1,10,125,41,1,0,29,11,70,6,0.237,0.316,0.375,0,4,阪　神,2023,24
近本　光司,129,585,501,83,143,24,12,8,215,54,28,3,67,12,71,6,0.285,0.379,0.429,0,5,阪　神,2023,30
井上　広大,13,37,35,3,8,2,1,0,12,7,0,0,2,0,18,0,0.229,0.27,0.343,0,0,阪　神,2023,23
島田　海吏,101,121,110,12,16,0,1,1,21,6,7,1,7,3,26,4,0.145,0.217,0.191,1,0,阪　神,2023,28
楠本　泰史,94,176,157,14,30,9,0,2,45,21,0,0,11,3,35,2,0.191,0.253,0.287,2,3,横浜DeNA,2023,29
前川　右京,33,107,94,6,24,3,2,0,31,7,0,2,9,4,25,1,0.255,0.346,0.33,0,0,阪　神,2023,21
小野寺　暖,43,83,75,8,26,2,2,0,32,11,0,0,7,0,12,0,0.347,0.402,0.427,1,0,阪　神,2023,26
マルティネス,119,444,386,39,95,24,0,15,164,66,0,4,44,11,99,15,0.246,0.338,0.425,0,3,北海道日本ハム,2023,28
清水　優心,32,60,50,3,13,1,0,0,14,5,1,0,4,0,13,1,0.26,0.315,0.28,6,0,北海道日本ハム,2023,28
伏見　寅威,89,251,229,13,46,5,0,3,60,12,0,0,8,4,42,4,0.201,0.241,0.262,10,0,北海道日本ハム,2023,34
古川　裕大,17,47,43,2,8,4,0,0,12,4,0,0,1,0,15,1,0.186,0.196,0.279,1,2,北海道日本ハム,2023,26
郡司　裕也,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,中　日,2023,26
郡司　裕也,55,187,169,15,43,4,0,3,56,19,2,1,16,0,30,4,0.254,0.319,0.331,2,0,北海道日本ハム,2023,26
吉田　賢吾,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,福岡ソフトバンク,2023,23
田宮　裕涼,10,31,31,4,8,1,0,2,15,9,2,0,0,0,7,0,0.258,0.258,0.484,0,0,北海道日本ハム,2023,24
梅林　優貴,7,6,6,0,3,0,0,0,3,0,0,0,0,0,1,1,0.5,0.5,0.5,0,0,北海道日本ハム,2023,26
