年度,選手名,年齢,ポジション,チーム,年俸,年俸_円
2023,山本　由伸,24,投手,オリックス,6億5000万円,650000000
2023,Ｒ．オスナ,28,投手,ソフトバンク,6億5000万円,650000000
2023,柳田　悠岐,34,外野手,ソフトバンク,6億2000万円,620000000
2023,坂本　勇人,34,内野手,巨人,6億円,600000000
2023,村上　宗隆,23,内野手,ヤクルト,6億円,600000000
2023,菅野　智之,33,投手,巨人,5億円,500000000
2023,浅村　栄斗,32,内野手,楽天,5億円,500000000
2023,山田　哲人,30,内野手,ヤクルト,5億円,500000000
2023,田中　将大,34,投手,楽天,4億7500万円,475000000
2023,森　唯斗,31,投手,ソフトバンク,4億6000万円,460000000
2023,丸　佳浩,33,外野手,巨人,4億5000万円,450000000
2023,Ｄ．ビシエド,34,内野手,中日,3億5000万円,350000000
2023,Ｆ．ガルビス,33,内野手,ソフトバンク,3億5000万円,350000000
2023,青木　宣親,41,外野手,ヤクルト,3億3000万円,330000000
2023,則本　昂大,32,投手,楽天,3億円,300000000
2023,山﨑　康晃,30,投手,DeNA,3億円,300000000
2023,増田　達至,34,投手,西武,3億円,300000000
2023,中田　翔,33,内野手,巨人,3億円,300000000
2023,源田　壮亮,30,内野手,西武,3億円,300000000
2023,有原　航平,30,投手,ソフトバンク,3億円,300000000
2023,Ｌ．モイネロ,27,投手,ソフトバンク,3億円,300000000
2023,今宮　健太,31,内野手,ソフトバンク,3億円,300000000
2023,菊池　涼介,33,内野手,広島,3億円,300000000
2023,西　勇輝,32,投手,阪神,3億円,300000000
2023,大野　雄大,34,投手,中日,3億円,300000000
2023,岡本　和真,26,内野手,巨人,2億7000万円,270000000
2023,山川　穂高,31,内野手,西武,2億7000万円,270000000
2023,Ｄ．サンタナ,30,外野手,ヤクルト,2億6500万円,265000000
2023,近藤　健介,29,外野手,ソフトバンク,2億5500万円,255000000
2023,大島　洋平,37,外野手,中日,2億5000万円,250000000
2023,松井　裕樹,27,投手,楽天,2億5000万円,250000000
2023,岸　孝之,38,投手,楽天,2億5000万円,250000000
2023,Ｎ．ソト,34,内野手,DeNA,2億5000万円,250000000
2023,青柳　晃洋,29,投手,阪神,2億4000万円,240000000
2023,平野　佳寿,39,投手,オリックス,2億2000万円,220000000
2023,甲斐　拓也,30,捕手,ソフトバンク,2億1000万円,210000000
2023,森　友哉,27,捕手,オリックス,2億1000万円,210000000
2023,中村　奨吾,30,内野手,ロッテ,2億円,200000000
2023,Ｇ．ポランコ,31,外野手,ロッテ,2億円,200000000
2023,Ｅ．エスコバー,30,投手,DeNA,2億円,200000000
2023,鈴木　大地,33,内野手,楽天,2億円,200000000
2023,宮﨑　敏郎,34,内野手,DeNA,2億円,200000000
2023,Ｔ．オースティン,31,外野手,DeNA,2億円,200000000
2023,中村　剛也,39,内野手,西武,2億円,200000000
2023,Ｙ．ロドリゲス,26,投手,中日,2億円,200000000
2023,Ｒ．マルティネス,26,投手,中日,2億円,200000000
2023,梶谷　隆幸,34,外野手,巨人,2億円,200000000
